review_id,restaurant_id,restaurant_name,review_text,review_text_cleaned,rating,review_date,review_source,word_count,sentiment_score,sentiment_subjectivity,sentiment_category,area,cuisine_primary,price_category
rev_00001,src1_001,Em Sherif,"[5/5] [May 18, 2025 from Google]: The food is amazing and the service is very fast. Their set menu is amazing for groups and offers all kinds of lebanese dishes.",The food is amazing and the service is very fast. Their set menu is amazing for groups and offers all kinds of lebanese dishes.,5.0,,Google,24,,,Unknown,Beirut,Lebanese,High-End
rev_00002,src1_001,Em Sherif,"[5/5] [Sep 20, 2025 from Google]: Em Sherif never disappoints, and its summer location at the Palm Beach Warwick Hotel is truly something special. With superb vibes and a breathtaking view over Beirut, it’s the perfect spot to savor the city in all its beauty. The ambiance is elegant yet inviting, with a stunning interior that elevates the whole experience. And of course, the food remains as exceptional as ever…rich, authentic, and full of flavor. A place that captures the spirit of Beirut at its finest.","Em Sherif never disappoints, and its summer location at the Palm Beach Warwick Hotel is truly something special. With superb vibes and a breathtaking view over Beirut, it’s the perfect spot to savor the city in all its beauty. The ambiance is elegant yet inviting, with a stunning interior that elevates the whole experience. And of course, the food remains as exceptional as ever…rich, authentic, and full of flavor. A place that captures the spirit of Beirut at its finest.",5.0,,Google,80,,,Unknown,Beirut,Lebanese,High-End
rev_00003,src1_001,Em Sherif,"[5/5] [Nov 18, 2025 from Google]: ⭐️⭐️⭐️⭐️⭐️ If I could give 10 stars, I would. Em Sherif is, without exaggeration, the best food I have ever had in my life. I can’t even describe the experience properly, every bite feels like art. The flavors, the atmosphere, the service… everything is on another level. Even on a Monday night, it somehow turned into one of the best nights I’ve had. The energy, the attention to detail, the music, the dishes coming one after the other… unforgettable. In Lebanon we have Fairuz, Baalbek, the Cedars of God and Em Sherif (the 8th wonder of the world) If you’re in Beirut and you don’t eat here, you haven’t truly experienced Lebanon.","⭐️⭐️⭐️⭐️⭐️ If I could give 10 stars, I would. Em Sherif is, without exaggeration, the best food I have ever had in my life. I can’t even describe the experience properly, every bite feels like art. The flavors, the atmosphere, the service… everything is on another level. Even on a Monday night, it somehow turned into one of the best nights I’ve had. The energy, the attention to detail, the music, the dishes coming one after the other… unforgettable. In Lebanon we have Fairuz, Baalbek, the Cedars of God and Em Sherif (the 8th wonder of the world) If you’re in Beirut and you don’t eat here, you haven’t truly experienced Lebanon.",5.0,,Google,112,,,Unknown,Beirut,Lebanese,High-End
rev_00004,src1_001,Em Sherif,"[4/5] [Jun 1, 2023 from Google]: Food tastes good. But honestly speaking, the set menu is definitely overserved. The quantity is way too much for the number of personas it served, I happen to over hear the next table commented the same. Fine restaurants need to be conscious about the food waste instead of showing off. Besides, this restaurant doesn’t allow take away. It even makes it worse","Food tastes good. But honestly speaking, the set menu is definitely overserved. The quantity is way too much for the number of personas it served, I happen to over hear the next table commented the same. Fine restaurants need to be conscious about the food waste instead of showing off. Besides, this restaurant doesn’t allow take away. It even makes it worse",4.0,,Google,62,,,Unknown,Beirut,Lebanese,High-End
rev_00005,src1_001,Em Sherif,"[5/5] [Apr 22, 2022 from Google]: You’re slowly biting into a piece of Sambousek covered in Hummus, with some Hindbeh leaves in the mix… You close your eyes to savor the moment as you let the explosion of flavors invade you. A nostalgic Fairuz song is playing in the background, and a soft breeze is caressing your cheeks. Life is good. It’s especially good at Em Sherif where the culinary experience combines richness and delicateness, comfort and elegance, past and present. A word of caution: you may have to roll out of the place, as walking would be physically impossible after what can only be described as a gargantuan feast… So you may want to pace yourself. It’s a set menu that takes the stress out of ordering, and ensures that energy is re-directed towards devouring the meal. And it’s classically Lebanese, with the cold and hot appetizers, the warm main dishes, and the desserts, all with small refined portions. Everything was delicious but if I were to pick some highlights: - The minced meat Rkakat and Sambousek were so scrumptious yet delicate at the same time - The Kibbeh with yogurt is another hit. The flavoring, the umami, the freshness of the yoghurt…combine magically together - Then when you think you’re done… comes a pleasant surprise: A muffin-shaped puff pastry filled with rice, minced meat, chicken and a whole array of condiments (raisins, almonds, shaved carrots, peas), sprinkled with a cinnamon flavored gravy… Sort of a “Riz aa Djej” with a twist. You won’t know what hit you. And you might come back for a second, third, maybe even a fourth serving. - The desserts.. what a beautiful note to end this extraordinary performance on. The date and molasses cake might trigger a few inappropriate sounds of approval. The Mhallabye with the loukoum and biscuits will feel decadently sinful. It’s a beautiful experience. Yes your tummy will beg you to stop, but your your heart and soul will beg for an Encore…","You’re slowly biting into a piece of Sambousek covered in Hummus, with some Hindbeh leaves in the mix… You close your eyes to savor the moment as you let the explosion of flavors invade you. A nostalgic Fairuz song is playing in the background, and a soft breeze is caressing your cheeks. Life is good. It’s especially good at Em Sherif where the culinary experience combines richness and delicateness, comfort and elegance, past and present. A word of caution: you may have to roll out of the place, as walking would be physically impossible after what can only be described as a gargantuan feast… So you may want to pace yourself. It’s a set menu that takes the stress out of ordering, and ensures that energy is re-directed towards devouring the meal. And it’s classically Lebanese, with the cold and hot appetizers, the warm main dishes, and the desserts, all with small refined portions. Everything was delicious but if I were to pick some highlights: - The minced meat Rkakat and Sambousek were so scrumptious yet delicate at the same time - The Kibbeh with yogurt is another hit. The flavoring, the umami, the freshness of the yoghurt…combine magically together - Then when you think you’re done… comes a pleasant surprise: A muffin-shaped puff pastry filled with rice, minced meat, chicken and a whole array of condiments (raisins, almonds, shaved carrots, peas), sprinkled with a cinnamon flavored gravy… Sort of a “Riz aa Djej” with a twist. You won’t know what hit you. And you might come back for a second, third, maybe even a fourth serving. - The desserts.. what a beautiful note to end this extraordinary performance on. The date and molasses cake might trigger a few inappropriate sounds of approval. The Mhallabye with the loukoum and biscuits will feel decadently sinful. It’s a beautiful experience. Yes your tummy will beg you to stop, but your your heart and soul will beg for an Encore…",5.0,,Google,327,,,Unknown,Beirut,Lebanese,High-End
rev_00006,src1_002,Liza,"[5/5] [Mar 14, 2025 from Google]: Classy and traditional choice in the small roads of Achrafieh. The inside and outside architecture is beautiful. Quick service, professional staff, and nice presentation. Food taste isn't bad but might be better. However, it is difficult to find a parking on your own. The valet parking option is available. Enjoy...","Classy and traditional choice in the small roads of Achrafieh. The inside and outside architecture is beautiful. Quick service, professional staff, and nice presentation. Food taste isn't bad but might be better. However, it is difficult to find a parking on your own. The valet parking option is available. Enjoy...",5.0,,Google,50,,,Unknown,Rue trabeau,Lebanese,Mid-Range
rev_00007,src1_002,Liza,"[5/5] [Jul 26, 2025 from Google]: One of the best restaurants in Beirut! I've been visiting Liza for the past 7 years and throughout the years it never disappoints. The food, the atmosphere, the service, the staff! All impeccable - I would highly recommend this restaurant","One of the best restaurants in Beirut! I've been visiting Liza for the past 7 years and throughout the years it never disappoints. The food, the atmosphere, the service, the staff! All impeccable - I would highly recommend this restaurant",5.0,,Google,40,,,Unknown,Rue trabeau,Lebanese,Mid-Range
rev_00008,src1_002,Liza,"[4/5] [Jul 29, 2025 from Google]: We jumped right into the lively place without reservation and were welcomed! The place has a cool vibe, that's for sure, very well set up outdoors, cozy and quiet Food tastes fantastic, but portions are not generous! For me, it was a proper bite, or could've been better Kebabs were a bit overdone. We've been served bread once, and it was a tiny piece of bread The cotton candy desert was a little bit of a disappointment; overall, it was bland. I've tasted this dish in a way better taste and shape","We jumped right into the lively place without reservation and were welcomed! The place has a cool vibe, that's for sure, very well set up outdoors, cozy and quiet Food tastes fantastic, but portions are not generous! For me, it was a proper bite, or could've been better Kebabs were a bit overdone. We've been served bread once, and it was a tiny piece of bread The cotton candy desert was a little bit of a disappointment; overall, it was bland. I've tasted this dish in a way better taste and shape",4.0,,Google,92,,,Unknown,Rue trabeau,Lebanese,Mid-Range
rev_00009,src1_002,Liza,"[5/5] [Jun 21, 2025 from Google]: I tasted arak for the first time at Liza’s ;) Here I found myself seated in the intimate courtyard of a historic homestead, jasmine flowering in front of me, a fountain splashing behind me and then this thrilling taste of subdued sweetness of an anise drink on a balmy spring day (1st May). Waiters in ‘Beyrouth je t’aime ’ tee shirts were graced with trays and platters bearing an array of dishes starting with a beautiful artichoke salad tossed with garden-fresh peas,coriander,spring onion :) and ending with a joyful rice and caramel pudding. In between many shared dishes with my friends,Lebanese-style hospitality,there was time to peek inside the alluring Liza mansion and buy one of those ‘je t’aime’ tee shirts to express my reaction to Beirut- a city that took me by surprise. Aside from communicating reviews,the effortless artistry and elegance at Liza’s and astounding authenticity of Lebanon at large,left me speechless.","I tasted arak for the first time at Liza’s ;) Here I found myself seated in the intimate courtyard of a historic homestead, jasmine flowering in front of me, a fountain splashing behind me and then this thrilling taste of subdued sweetness of an anise drink on a balmy spring day (1st May). Waiters in ‘Beyrouth je t’aime ’ tee shirts were graced with trays and platters bearing an array of dishes starting with a beautiful artichoke salad tossed with garden-fresh peas,coriander,spring onion :) and ending with a joyful rice and caramel pudding. In between many shared dishes with my friends,Lebanese-style hospitality,there was time to peek inside the alluring Liza mansion and buy one of those ‘je t’aime’ tee shirts to express my reaction to Beirut- a city that took me by surprise. Aside from communicating reviews,the effortless artistry and elegance at Liza’s and astounding authenticity of Lebanon at large,left me speechless.",5.0,,Google,152,,,Unknown,Rue trabeau,Lebanese,Mid-Range
rev_00010,src1_002,Liza,"[4/5] [Aug 12, 2025 from Google]: A beautiful restaurant with stunning architecture. We visited during the day and the restaurant was empty, it might have a livelier and nicer atmosphere in the evenings. Overall the food was tasty, but unfortunately, the prices felt quite high for the value and quantity offered.","A beautiful restaurant with stunning architecture. We visited during the day and the restaurant was empty, it might have a livelier and nicer atmosphere in the evenings. Overall the food was tasty, but unfortunately, the prices felt quite high for the value and quantity offered.",4.0,,Google,45,,,Unknown,Rue trabeau,Lebanese,Mid-Range
